percent,processed,meanNt,sdNt,meanTrueF0
0,0,0,0,0
5,1000,992.35,14.8345,992.233
10,2000,1969.62,26.0642,1973.43
15,3000,2947.26,38.6558,2949.03
20,4000,3919.44,58.2774,3921.37
25,5000,4891.98,78.6971,4888.8
30,6000,5872.98,77.3028,5854.07
35,7000,6830.58,101.623,6820.83
40,8000,7803.92,107.355,7786.3
45,9000,8786.46,141.325,8749.67
50,10000,9763.51,176.753,9714.17
55,11000,10891.6,136.743,10678.3
60,12000,11789.7,160.069,11641.2
65,13000,12728.8,167.623,12606.2
70,14000,13671.7,209.267,13571.2
75,15000,14624.3,223.648,14534.1
80,16000,15584.7,238.492,15495.5
85,17000,16554.2,243.342,16456.7
90,18000,17512.5,242.344,17417.7
95,19000,18489.9,298.763,18379.8
100,20000,19455.1,304.324,19342.6
